split,sample_rate,filepath,site,dataset,labels,audio_path
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231025_015200.WAV,Non_Degraded_Reef,PaolaCostaRica,"1,0",/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231025_015200.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BaF5.1732H.671907872.180831.NT1744.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BaF5.1732H.671907872.180831.NT1744.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN11.1200H.805322778.180906.NT1220.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN11.1200H.805322778.180906.NT1220.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231202_175100.WAV,Degraded_Reef,PaolaCostaRica,"0,1",/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231202_175100.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoN10.1731D.805322778.180905.NT1737.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoN10.1731D.805322778.180905.NT1737.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN11.1103H.805322778.180906.NT1134.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN11.1103H.805322778.180906.NT1134.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF5.1125D.1677983769.180831.NT1128.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF5.1125D.1677983769.180831.NT1128.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoF5.0940D.1677983769.180831.NT1031.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoF5.0940D.1677983769.180831.NT1031.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231126_081600.WAV,Degraded_Reef,PaolaCostaRica,"0,1",/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231126_081600.WAV
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231024_073100.WAV,Non_Degraded_Reef,PaolaCostaRica,"1,0",/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231024_073100.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BaF5.1330H.671907872.180831.NT1428.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BaF5.1330H.671907872.180831.NT1428.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF5.0940H.671907872.180831.NT0958.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF5.0940H.671907872.180831.NT0958.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231201_074200.WAV,Degraded_Reef,PaolaCostaRica,"0,1",/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231201_074200.WAV
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231023_003400.WAV,Non_Degraded_Reef,PaolaCostaRica,"1,0",/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231023_003400.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF4.0533D.805322778.180830.NT0547.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF4.0533D.805322778.180830.NT0547.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoN10.2359D.805322778.180905.NT0001.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoN10.2359D.805322778.180905.NT0001.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF3.1205H.1678278701.180829.NT1217.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF3.1205H.1678278701.180829.NT1217.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF4.0902D.671907872.180830.NT0914.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF4.0902D.671907872.180830.NT0914.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231130_101500.WAV,Degraded_Reef,PaolaCostaRica,"0,1",/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231130_101500.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF2.1203D.1678278701.180828.NT1232.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/SaF2.1203D.1678278701.180828.NT1232.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN10.1731H.1678278701.180905.NT1814.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoN10.1731H.1678278701.180905.NT1814.wav
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoF4.1300D.671907872.180830.NT1335.wav,Degraded_Reef,Williams_et_al_2024,"0,1",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Degraded_Reef/BoF4.1300D.671907872.180830.NT1335.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231022_213400.WAV,Non_Degraded_Reef,PaolaCostaRica,"1,0",/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231022_213400.WAV
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231024_114700.WAV,Non_Degraded_Reef,PaolaCostaRica,"1,0",/home/s.kamboj.400/mount/files/PaolaCostaRica/Non_Degraded_Reef/oct_nov 23 GU/20231024_114700.WAV
train,48000,/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF4.1733H.1677983769.180830.NT1832.wav,Non_Degraded_Reef,Williams_et_al_2024,"1,0",/home/s.kamboj.400/mount/files/Williams_et_al_2024/Non_Degraded_Reef/BoF4.1733H.1677983769.180830.NT1832.wav
train,48000,/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231130_125600.WAV,Degraded_Reef,PaolaCostaRica,"0,1",/home/s.kamboj.400/mount/files/PaolaCostaRica/Degraded_Reef/Playa Blanca nov 23 ene 24/20231130_125600.WAV
